Measure,Total,Achara,Boonsri,Busarakhan,Chai,Decha,Kannika,Kohsoom,Sadka,Somchair,Tansanee
"1,2,3-Trichlorobenzene",76,0,60,0,0,0,0,16,0,0,0
"1,2,4-Trichlorobenzene",76,0,60,0,0,0,0,16,0,0,0
Acenaphthene,76,0,60,0,0,0,0,16,0,0,0
Acenaphthylene,76,0,60,0,0,0,0,16,0,0,0
AGOC-3A,474,0,91,31,104,0,92,32,93,31,0
Alachlor,528,0,135,28,148,0,82,28,78,29,0
Aldrin,691,0,210,35,175,0,93,48,95,35,0
alpha-Hexachlorocyclohexane,603,0,154,32,167,0,96,31,92,31,0
Aluminium,126,0,0,10,30,0,39,0,36,11,0
Ammonium,4658,135,976,286,1233,148,701,216,679,284,0
Anionic active surfactants,2154,14,665,100,339,58,362,164,355,97,0
Anthracene,88,0,60,2,5,0,2,16,1,2,0
AOX,492,0,146,21,90,0,92,49,69,25,0
Arsenic,993,62,137,52,170,21,232,65,200,54,0
Atrazine,2114,45,382,123,507,22,408,108,386,133,0
Barium,120,0,0,12,28,0,31,0,37,12,0
Benzo(a)anthracene,88,0,60,2,5,0,2,16,1,2,0
Benzo(a)pyrene,96,0,60,3,7,0,4,17,2,3,0
Benzo(b)fluoranthene,96,0,60,3,7,0,4,17,2,3,0
"Benzo(g,h,i)perylene",20,0,0,3,7,0,4,1,2,3,0
Benzo(k)fluoranthene,96,0,60,3,7,0,4,17,2,3,0
Berilium,13,0,0,2,3,0,3,0,3,2,0
beta-Hexaxchlorocyclohexane,639,0,173,34,174,0,95,32,96,35,0
Bicarbonates,2739,29,832,122,447,41,471,202,477,118,0
Biochemical Oxygen,4397,117,906,279,1178,92,674,216,655,280,0
Boron,13,0,0,2,3,0,3,0,3,2,0
Cadmium,2956,70,584,165,686,45,547,168,523,168,0
Calcium,3723,89,863,215,720,86,665,217,654,214,0
Carbonates,36,1,0,7,9,0,6,0,7,6,0
Cesium,120,0,21,3,36,0,36,6,12,6,0
Chemical Oxygen Demand (Cr),3622,120,815,192,801,93,604,211,592,194,0
Chemical Oxygen Demand (Mn),3833,104,857,202,827,94,666,215,652,216,0
Chlorides,3889,88,871,215,872,80,674,217,658,214,0
Chlorodinine,474,0,91,31,104,0,92,32,93,31,0
Chromium,3002,57,603,157,674,68,568,172,543,160,0
Chrysene,76,0,60,0,0,0,0,16,0,0,0
Copper,2985,62,602,157,669,53,566,172,544,160,0
Cyanides,386,12,0,28,96,34,92,0,96,28,0
Dieldrin,596,0,154,34,161,0,91,31,90,35,0
Dissolved organic carbon,8,0,0,1,0,0,3,0,3,1,0
Dissolved oxygen,4434,120,884,278,1215,99,682,216,661,279,0
Dissolved silicates,531,88,87,48,162,30,36,12,36,32,0
Endosulfan (alpha),566,0,152,30,160,0,80,27,84,33,0
Endosulfan (beta),528,0,133,29,154,0,77,27,79,29,0
Endrin,709,0,219,34,183,0,99,49,90,35,0
Fecal coliforms,1490,0,461,71,284,0,240,141,221,72,0
Fecal streptococci ,1301,0,417,64,239,0,190,127,203,61,0
Fluoranthene,96,0,60,3,7,0,4,17,2,3,0
Fluorene,15,0,12,0,0,0,0,3,0,0,0
gamma-Hexachlorocyclohexane,2556,50,526,151,577,25,451,153,463,160,0
Heptachlor,589,0,148,30,168,0,93,32,89,29,0
Heptachloroepoxide,491,0,124,26,131,0,78,27,78,27,0
Hexachlorobenzene,90,0,60,2,5,0,2,18,1,2,0
"Indeno(1,2,3-c,d)pyrene",20,0,0,3,7,0,4,1,2,3,0
Inorganic nitrogen,41,28,1,0,0,12,0,0,0,0,0
Iron,2678,8,575,148,652,52,479,146,469,149,0
Isodrin,89,0,60,2,5,0,2,17,1,2,0
Lead,2999,70,592,165,695,47,558,170,535,167,0
Macrozoobenthos,1269,2,354,63,267,8,238,58,214,65,0
Magnesium,3754,89,864,218,732,83,680,217,655,216,0
Manganese,3978,20,943,198,880,103,690,253,688,203,0
Mercury,1760,80,340,91,395,35,353,51,318,97,0
Methoxychlor,16,0,4,1,6,0,0,2,1,2,0
Methylosmoline,474,0,91,31,104,0,92,32,93,31,0
