Measure,Total,Achara,Boonsri,Busarakhan,Chai,Decha,Kannika,Kohsoom,Sadka,Somchair,Tansanee
"1,2,3-Trichlorobenzene",1,0,0,0,0,0,0,1,0,0,0
"1,2,4-Trichlorobenzene",0,0,0,0,0,0,0,0,0,0,0
Acenaphthene,16,0,16,0,0,0,0,0,0,0,0
Acenaphthylene,0,0,0,0,0,0,0,0,0,0,0
AGOC-3A,473,0,91,31,104,0,92,32,92,31,0
Alachlor,487,0,125,25,137,0,77,26,71,26,0
Aldrin,491,0,120,27,129,0,72,40,75,27,1
alpha-Hexachlorocyclohexane,366,0,89,15,95,0,75,24,56,12,0
Aluminium,123,0,0,10,30,0,36,0,36,11,0
Ammonium,4661,120,963,282,1181,139,691,216,658,279,132
Anionic active surfactants,1410,8,427,70,224,18,210,135,224,73,21
Anthracene,36,0,19,2,5,0,2,4,1,2,1
AOX,207,0,101,7,18,0,18,35,21,7,0
Arsenic,763,42,33,48,131,21,195,50,185,48,10
Atrazine,600,1,135,36,122,0,114,52,103,36,1
Barium,120,0,0,12,28,0,31,0,37,12,0
Benzo(a)anthracene,34,0,16,0,0,0,0,16,0,0,2
Benzo(a)pyrene,11,0,1,1,2,0,2,1,1,1,2
Benzo(b)fluoranthene,17,0,6,1,2,0,2,1,1,2,2
"Benzo(g,h,i)perylene",22,0,0,3,7,0,4,1,2,3,2
Benzo(k)fluoranthene,11,0,1,1,2,0,2,1,1,1,2
Berilium,0,0,0,0,0,0,0,0,0,0,0
beta-Hexaxchlorocyclohexane,533,0,159,34,118,0,80,31,77,34,0
Bicarbonates,2826,29,832,122,447,41,471,202,477,118,87
Biochemical Oxygen,4363,117,858,276,1159,92,651,216,626,278,90
Boron,13,0,0,2,3,0,3,0,3,2,0
Cadmium,2422,15,490,153,611,30,414,133,413,156,7
Calcium,3765,89,863,215,720,86,665,217,654,214,42
Carbonates,36,1,0,7,9,0,6,0,7,6,0
Cesium,1,0,1,0,0,0,0,0,0,0,0
Chemical Oxygen Demand (Cr),3619,87,799,190,782,92,603,208,573,189,96
Chemical Oxygen Demand (Mn),3883,98,857,202,827,94,666,215,652,216,56
Chlorides,3756,88,871,215,781,80,617,217,601,214,72
Chlorodinine,471,0,91,31,101,0,92,32,93,31,0
Chromium,2822,19,533,157,656,52,546,168,518,160,13
Chrysene,0,0,0,0,0,0,0,0,0,0,0
Copper,2959,61,594,157,651,45,560,171,543,160,17
Cyanides,79,0,0,10,12,22,5,0,16,14,0
Dieldrin,349,0,93,30,63,0,44,27,59,32,1
Dissolved organic carbon,20,0,0,1,0,0,3,0,3,1,12
Dissolved oxygen,4525,120,884,277,1212,99,682,216,661,277,97
Dissolved silicates,562,86,87,48,162,30,36,12,36,32,33
Endosulfan (alpha),399,0,111,22,94,0,59,20,67,26,0
Endosulfan (beta),345,0,83,20,84,0,57,19,61,21,0
Endrin,429,0,120,20,114,0,59,44,52,19,1
Fecal coliforms,1381,0,435,67,264,0,209,135,205,66,0
Fecal streptococci ,1165,0,373,58,236,0,139,126,176,57,0
Fluoranthene,42,0,16,3,7,0,4,5,2,3,2
Fluorene,3,0,0,0,0,0,0,3,0,0,0
gamma-Hexachlorocyclohexane,1414,0,296,96,342,0,233,108,239,99,1
Heptachlor,276,0,79,14,72,0,37,27,35,12,0
Heptachloroepoxide,57,0,15,0,17,0,9,8,8,0,0
Hexachlorobenzene,30,0,0,2,5,0,2,18,1,2,0
"Indeno(1,2,3-c,d)pyrene",20,0,0,3,7,0,4,1,2,3,0
Inorganic nitrogen,64,28,1,0,0,12,0,0,0,0,23
Iron,2666,8,573,142,639,51,475,146,456,145,31
Isodrin,29,0,0,2,5,0,2,17,1,2,0
Lead,2841,66,529,165,650,37,533,163,525,167,6
Macrozoobenthos,1199,2,337,62,250,8,213,54,209,60,4
Magnesium,3796,89,864,218,732,83,680,217,655,216,42
Manganese,3010,12,705,158,686,79,463,242,448,168,49
Mercury,1083,8,192,71,265,25,213,43,187,77,2
Methoxychlor,16,0,4,1,6,0,0,2,1,2,0
Methylosmoline,474,0,91,31,104,0,92,32,93,31,0
Metolachlor,427,0,100,26,111,0,65,25,74,26,0
Naphthalene,30,0,16,2,5,0,2,0,1,2,2
Nickel,2160,30,429,118,541,41,385,125,360,122,9
Nitrates,4782,135,976,285,1232,150,701,215,673,284,131
Nitrites,4774,135,975,283,1230,147,699,216,677,282,130
Organic nitrogen,82,62,4,0,0,16,0,0,0,0,0
Orthophosphate-phosphorus,4598,132,968,277,1185,137,656,217,640,261,125
Oxygen saturation,2177,36,560,86,488,53,326,126,321,84,97
"p,p-DDD",606,0,155,34,165,0,91,32,95,34,0
"p,p-DDE",583,0,167,32,140,0,98,32,83,31,0
"p,p-DDT",1150,0,220,71,272,8,216,83,208,72,0
PAHs,7,0,1,1,1,0,1,1,1,1,0
PCB 101,39,0,17,3,7,0,4,3,2,3,0
PCB 118,12,0,0,2,5,0,2,0,1,2,0
PCB 138,22,0,2,3,7,0,4,1,2,3,0
PCB 153,20,0,0,3,7,0,4,1,2,3,0
PCB 180,35,0,9,3,7,0,4,7,2,3,0
PCB 28,8,0,0,1,2,0,2,1,1,1,0
PCB 52,8,0,0,1,2,0,2,1,1,1,0
Pentachlorobenzene,12,0,0,2,5,0,2,0,1,2,0
Petroleum hydrocarbons,653,14,42,66,141,0,153,8,147,64,18
Phenanthrene,14,0,0,2,5,0,2,0,1,2,2
Potassium,2008,18,625,91,296,30,329,209,310,95,5
Pyrene,42,0,26,0,0,0,0,16,0,0,0
Selenium,75,0,0,8,19,0,19,0,22,7,0
Silica (SiO2),1668,12,408,84,502,0,246,86,247,83,0
Simazine,285,0,80,13,66,0,41,23,47,14,1
Sodium,2171,22,768,91,302,40,329,213,306,95,5
Sulfides,165,0,0,11,46,0,43,10,42,13,0
Sulphates,3250,22,860,168,619,77,551,213,527,170,43
Tetrachloromethane,36,0,26,0,6,0,0,4,0,0,0
Total coliforms,1536,3,499,73,278,21,230,136,226,70,0
Total dissolved phosphorus,521,0,121,50,132,0,72,24,72,50,0
Total dissolved salts,2788,28,569,151,708,80,437,141,438,150,86
Total extractable matter,150,0,21,12,36,0,31,8,31,11,0
Total hardness,1672,30,521,91,229,23,272,124,273,74,35
Total nitrogen,2525,131,227,196,777,87,407,58,396,195,51
Total organic carbon,418,20,137,13,54,0,50,48,48,14,34
Total phosphorus,4577,134,957,273,1153,145,659,217,638,270,131
Trifluralin,12,0,0,2,5,0,2,0,1,2,0
Water temperature,5005,119,984,277,1550,96,691,217,667,279,125
Zinc,2671,61,582,150,624,42,442,167,433,153,17
